TV,radio,newspaper,Actual_Sales_y_test,Predicted_Sales
197.6,3.5,5.9,11.7,12.616427320724535
8.7,48.9,75.0,7.2,12.920045969929198
139.2,14.3,25.6,12.2,12.084713840251066
290.7,4.1,8.5,12.8,16.821999773082688
287.6,43.0,71.8,26.2,24.05507461336944
172.5,18.1,30.7,14.4,14.274012620796979
262.7,28.8,15.9,20.2,20.38340381489825
36.9,38.6,65.6,10.8,12.184211290447726
134.3,4.9,9.3,11.2,10.09174636595176
75.5,10.8,6.0,9.9,8.666554082227577
184.9,43.9,1.7,20.7,19.955141245130022
220.5,33.2,37.9,20.1,19.30787453874914
170.2,7.8,35.2,11.7,12.147305305617467
142.9,29.3,12.6,15.0,15.219775077959536
109.8,47.8,51.4,16.7,17.237405915317442
73.4,17.0,12.9,10.9,9.759827796791757
164.5,20.9,47.4,14.5,14.410002508766851
228.3,16.9,26.2,15.5,16.511461685672437
8.4,27.2,2.1,5.7,8.92695588422869
74.7,49.4,45.7,14.7,16.024648850103986
121.0,8.4,48.7,11.6,10.051868050716319
248.8,27.1,22.9,18.9,19.41549870392781
193.2,18.4,65.7,15.2,15.121512444880512
250.9,36.5,72.3,22.2,21.169762034502455
222.4,3.4,13.1,11.5,13.66330888169414
16.9,43.7,89.4,8.7,12.216068241186774
69.2,20.5,18.3,11.3,10.239072300326498
137.9,46.4,59.0,19.2,18.17447189331944
18.8,21.7,50.4,7.0,8.14300865623549
0.7,39.6,8.7,1.6,10.984576533196584
265.6,20.0,0.3,17.4,18.84836682741723
89.7,9.9,35.7,10.6,9.012312203841823
215.4,23.6,57.6,17.1,17.14149405774925
284.3,10.6,6.4,15.0,17.815953242357622
214.7,24.0,4.0,17.4,17.37571805640191
17.9,37.6,21.6,8.0,11.306342194869803
239.8,4.1,36.9,12.3,14.48268811315598
241.7,38.0,23.2,21.8,21.228817921512523
139.3,14.5,10.2,13.4,12.181862699398485
243.2,49.0,44.3,25.4,23.36759686554082
